,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1761,1761,1503701157095,-3,0,-5,-4,-14,-5,3,-4
1762,1762,1503701157109,11,-8,4,-2,-1,-1,-2,-9
1763,1763,1503701157117,-2,0,-5,-6,-16,-3,-1,15
1764,1764,1503701157124,1,3,1,-6,-17,3,-9,-22
1765,1765,1503701157139,4,-6,-9,-19,-39,-3,7,-1
1766,1766,1503701157149,0,2,7,16,43,12,4,-3
1767,1767,1503701157162,11,-8,-6,-1,6,4,2,-9
1768,1768,1503701157169,3,11,-5,-6,-8,0,2,-4
1769,1769,1503701157177,-17,14,-1,-6,-10,-6,1,6
1770,1770,1503701157185,7,15,4,1,-1,-3,1,8
1771,1771,1503701157200,-6,-1,1,2,-7,-8,-8,13
1772,1772,1503701157207,-19,-11,-7,7,17,6,8,6
1773,1773,1503701157223,-18,-7,1,0,6,5,7,23
1774,1774,1503701157229,-14,-5,-4,-7,-14,-11,-2,4
1775,1775,1503701157237,-9,-16,4,5,4,5,7,3
1776,1776,1503701157244,-24,-15,-6,-12,-15,-2,1,-9
1777,1777,1503701157260,18,15,0,4,8,3,-11,-53
1778,1778,1503701157267,3,17,-8,-8,-8,-8,-5,7
1779,1779,1503701157282,7,4,10,2,2,-5,-4,-7
1780,1780,1503701157290,-5,-20,-6,-5,-5,-2,0,18
1781,1781,1503701157297,-2,-13,-3,-4,-3,-3,-2,9
1782,1782,1503701157304,3,-12,-2,-2,-4,-1,-9,-7
1783,1783,1503701157320,28,6,2,4,4,7,1,-1
1784,1784,1503701157327,-5,2,-1,9,10,2,4,11
1785,1785,1503701157342,6,-1,-5,-5,-7,-19,-15,-4
1786,1786,1503701157350,11,6,5,-3,-1,1,1,2
1787,1787,1503701157357,-9,-1,1,-3,-1,-1,7,6
1788,1788,1503701157364,0,3,8,2,3,-1,0,4
1921,1921,1503701158685,-5,-17,-15,-5,-8,-4,-4,-4
1922,1922,1503701158692,-3,-2,-3,-2,-4,-3,2,28
1923,1923,1503701158700,-1,-20,2,-2,-10,-2,0,-2
1924,1924,1503701158714,17,12,25,5,-2,1,-3,1
1925,1925,1503701158724,-3,-1,-10,-4,-1,-3,2,5
1926,1926,1503701158729,-2,-4,-10,-2,-5,2,-4,4
1927,1927,1503701158745,-3,13,14,6,6,3,-4,-7
1928,1928,1503701158752,-10,1,6,12,16,1,3,-8
1929,1929,1503701158760,-3,-6,-7,-4,-3,0,-2,-3
1930,1930,1503701158774,-1,-4,-3,-5,-8,-3,-6,-15
1931,1931,1503701158782,0,3,-5,2,1,-2,2,10
1932,1932,1503701158789,-6,-3,-2,-2,3,1,-1,6
1933,1933,1503701158805,-3,-3,-8,-6,-5,-1,-2,-16
1934,1934,1503701158812,-5,-3,-5,-6,-5,0,1,-8
1935,1935,1503701158820,10,-1,-5,-5,0,-2,0,2
1936,1936,1503701158834,5,-3,-3,-1,-3,-1,-1,6
1937,1937,1503701158842,-4,-10,-6,-5,-4,-3,-1,-6
1938,1938,1503701158849,-1,-7,1,0,-3,0,-1,-5
1939,1939,1503701158871,-6,-7,-3,1,1,-1,-2,5
1940,1940,1503701158872,-2,7,14,4,0,1,0,1
1941,1941,1503701158880,-1,5,1,1,1,-2,0,2
1942,1942,1503701158895,-2,-14,-12,-5,-3,-2,-4,-5
1943,1943,1503701158904,8,2,5,2,3,2,-2,-5
1944,1944,1503701158915,3,-2,-7,-4,-3,-1,0,4
1945,1945,1503701158930,4,-5,-2,-2,-1,0,1,-1
1946,1946,1503701158932,-9,-6,-4,-3,-1,0,0,-3
1947,1947,1503701158940,-4,7,8,1,0,0,-1,-18
1948,1948,1503701158955,-2,2,0,-2,-1,1,3,7
1949,1949,1503701158962,-2,7,-3,1,-1,0,-1,4
1950,1950,1503701158977,9,2,-4,-2,-1,-1,-1,0
1951,1951,1503701158985,-3,-6,-7,-3,-4,-2,-1,0
1952,1952,1503701158993,-4,-9,-8,0,-1,-2,-2,-2
1953,1953,1503701159001,-1,8,6,1,-1,1,-1,-3
1954,1954,1503701159014,-4,1,-6,-2,-1,0,0,6
1955,1955,1503701159015,0,1,2,-3,-2,-1,-4,-25
1956,1956,1503701159022,-1,-6,-3,-3,-3,-2,-1,6
1957,1957,1503701159030,-8,3,0,0,0,-2,2,8
1958,1958,1503701159045,-2,-2,-1,1,2,1,-1,-3
1959,1959,1503701159052,-1,-8,2,0,-1,-1,-3,7
1960,1960,1503701159062,-2,-1,1,0,0,-3,-1,0
1961,1961,1503701159081,-4,-2,0,0,-1,-1,0,1
1962,1962,1503701159083,3,-3,-3,-1,0,-1,-1,3
1963,1963,1503701159090,3,1,3,-1,0,-1,-3,-19
1964,1964,1503701159105,-7,-1,-3,-4,-3,-3,-2,-2
1965,1965,1503701159112,9,6,-6,-4,-1,-1,1,5
1966,1966,1503701159120,-5,-1,-6,-1,1,-1,0,1
1967,1967,1503701159134,-12,-5,-1,-1,-3,0,3,2
1968,1968,1503701159143,18,1,2,1,10,3,2,17
1969,1969,1503701159149,1,17,2,-1,-1,-1,-1,2
1970,1970,1503701159165,-9,-5,-3,1,-7,-3,1,3
1971,1971,1503701159172,7,-1,-6,-1,0,1,1,3
1972,1972,1503701159180,11,9,7,5,2,0,-3,-36
1973,1973,1503701159196,-3,-1,0,2,1,1,2,-5
1974,1974,1503701159202,5,-9,-5,-4,-1,1,-1,0
1975,1975,1503701159209,-11,-16,2,1,2,-1,3,4
1976,1976,1503701159225,-12,-3,-4,-3,-6,-5,-5,-3
1977,1977,1503701159233,-11,12,13,2,1,0,-1,5
1978,1978,1503701159240,11,-16,-13,-5,-1,-1,6,39
1979,1979,1503701159254,3,7,3,-1,-3,-4,-5,-28
1980,1980,1503701159270,-9,-3,8,3,-3,-1,-3,4
1981,1981,1503701159271,2,-2,-4,-2,-3,0,2,15
1982,1982,1503701159285,-3,-4,-1,4,4,2,-9,-36
1983,1983,1503701159292,4,-5,-5,-4,-2,-4,-7,-2
1984,1984,1503701159307,2,18,6,1,-1,-2,-3,-17
1985,1985,1503701159314,1,-5,-9,0,-3,0,2,7
1986,1986,1503701159322,3,14,6,-1,0,-1,-1,2
1987,1987,1503701159337,4,-11,-8,-4,-5,-3,1,6
1988,1988,1503701159345,1,0,-1,3,4,1,0,9
1989,1989,1503701159352,-5,-3,-4,-2,0,0,-1,19
1990,1990,1503701159367,-1,-6,1,-7,-6,-1,2,9
1991,1991,1503701159374,7,-6,-1,2,-1,-1,1,4
1992,1992,1503701159382,-9,-1,-2,0,1,1,3,15
1993,1993,1503701159397,-15,-11,6,0,-1,-1,-1,-12
1994,1994,1503701159405,3,-1,-5,-4,-2,-1,-2,-4
1995,1995,1503701159412,11,1,2,3,1,1,-1,-1
1996,1996,1503701159427,-4,-4,-4,-3,-5,-2,-1,4
1997,1997,1503701159434,18,0,-7,-5,-4,-4,-5,-42
1998,1998,1503701159443,-3,-1,0,2,12,2,1,3
1999,1999,1503701159458,-7,-1,3,-1,2,4,3,9
2000,2000,1503701159466,-6,-4,-5,-2,-4,-1,-3,-7
2001,2001,1503701159473,-11,3,1,0,-3,-1,2,12
2002,2002,1503701159487,4,6,6,5,2,-2,-1,-7
2003,2003,1503701159494,-6,13,-6,-4,7,3,-6,-13
2004,2004,1503701159506,-3,-7,-1,0,10,3,2,0
