SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,STD_DEV,MEAN,MIN,MAX,RMS,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,AMP_FFT1,AMP_FFT2,AMP_FFT3,AMP_FFT4,AMP_FFT5,AMP_FFT6,AMP_FFT7,AMP_FFT8
3397,1.5037E+12,6,-4,-6,-1,-1,2,-18,-1,7.100050302,-2.875,-18,6,7.237057413,-4+0j,-1.5355339059327378+9.121320343559642j,-1+7j,5.535533905932738-4.878679656440358j,6+0j,5.535533905932738+4.878679656440358j,-1-7j,-1.5355339059327378-9.121320343559642j,16,85.55634919,50,54.44365081,36,54.44365081,50,85.55634919
3398,1.5037E+12,2,3,2,-6,1,0,-1,1,2.815771906,0.25,-6,3,2.645751311,20+0j,0.3639610306789267+0.5355339059327378j,-5+3j,-12.363961030678926+6.535533905932738j,-10+0j,-12.363961030678926-6.535533905932738j,-5-3j,0.3639610306789267-0.5355339059327378j,400,0.419264196,34,195.5807358,100,195.5807358,34,0.419264196
3399,1.5037E+12,1,16,14,5,3,7,10,8,5.182387756,8,1,16,9.354143467,2+0j,6.363961030678928+3.1213203435596433j,3+3j,-6.363961030678928+1.1213203435596433j,-8+0j,-6.363961030678928-1.1213203435596433j,3-3j,6.363961030678928-3.1213203435596433j,4,50.24264069,18,41.75735931,64,41.75735931,18,50.24264069
3400,1.5037E+12,6,-4,-4,2,7,17,-2,-34,14.8900734,-1.5,-34,17,14.00892573,2+0j,8.707106781186548-5.949747468305833j,9-9j,7.292893218813452-3.9497474683058327j,4+0j,7.292893218813452+3.9497474683058327j,9+9j,8.707106781186548+5.949747468305833j,4,111.2132034,162,68.78679656,16,68.78679656,162,111.2132034
3401,1.5037E+12,-6,-2,-2,-1,8,7,-2,4,4.978525312,0.75,-6,8,4.716990566,-1+0j,4-3.82842712474619j,3-2j,4-1.8284271247461898j,3+0j,4+1.8284271247461898j,3+2j,4+3.82842712474619j,1,30.65685425,13,19.34314575,9,19.34314575,13,30.65685425
3402,1.5037E+12,-1,-7,-2,1,0,-28,-21,-8,10.68710839,-8.25,-28,1,12.9614814,-16+0j,-3.9999999999999996-9.071067811865476j,-2-8j,-4-5.0710678118654755j,-4+0j,-4+5.0710678118654755j,-2+8j,-3.9999999999999996+9.071067811865476j,256,98.28427125,68,41.71572875,16,41.71572875,68,98.28427125
3403,1.5037E+12,-3,-8,-7,-5,1,-1,-2,1,3.422613872,-3,-8,1,4.387482194,-12+0j,-6.778174593052022-7.778174593052023j,3-7j,8.778174593052022-7.778174593052023j,18+0j,8.778174593052022+7.778174593052023j,3+7j,-6.778174593052022+7.778174593052023j,144,106.4436508,58,137.5563492,324,137.5563492,58,106.4436508
3404,1.5037E+12,-9,20,24,8,7,11,6,19,10.44372676,10.75,-9,24,14.52583905,5+0j,2.707106781186548-13.192388155425117j,-8-9j,1.292893218813452-5.1923881554251174j,3+0j,1.292893218813452+5.1923881554251174j,-8+9j,2.707106781186548+13.192388155425117j,25,181.3675324,145,28.63246763,9,28.63246763,145,181.3675324
3405,1.5037E+12,10,1,0,2,3,-16,-11,16,10.30863023,0.625,-16,16,9.663074045,-18+0j,-7.363961030678928-1.292893218813453j,-3-1j,5.363961030678928+2.707106781186547j,4+0j,5.363961030678928-2.707106781186547j,-3+1j,-7.363961030678928+1.292893218813453j,324,55.89949494,10,36.10050506,16,36.10050506,10,55.89949494
3406,1.5037E+12,-11,0,-9,-2,-3,6,14,-11,8.750510189,-2,-11,14,8.426149773,-24+0j,0.17157287525381015+3j,-2-4j,5.82842712474619-3j,8+0j,5.82842712474619+3j,-2+4j,0.17157287525381015-3j,576,9.029437252,20,42.97056275,64,42.97056275,20,9.029437252
3407,1.5037E+12,4,3,0,-1,-8,5,7,-13,6.885543863,-0.375,-13,7,6.45174395,-5+0j,3.8284271247461907-5.65685424949238j,3-8j,-1.8284271247461907-5.65685424949238j,-5+0j,-1.8284271247461907+5.65685424949238j,3+8j,3.8284271247461907+5.65685424949238j,25,46.65685425,73,35.34314575,25,35.34314575,73,46.65685425
3408,1.5037E+12,0,0,-3,0,2,1,4,-10,4.234214382,-0.75,-10,4,4.031128874,-12+0j,-5.121320343559643+8.949747468305834j,-3+5j,-0.8786796564403572+0.9497474683058327j,-2+0j,-0.8786796564403572-0.9497474683058327j,-3-5j,-5.121320343559643-8.949747468305834j,144,106.3259018,34,1.674098192,4,1.674098192,34,106.3259018
3409,1.5037E+12,-1,-5,-3,-3,-4,-3,-4,-20,6.022280062,-5.375,-20,-1,7.786205751,-12+0j,0.6568542494923797+11.485281374238571j,4+10j,-10.65685424949238+5.485281374238571j,-16+0j,-10.65685424949238-5.485281374238571j,4-10j,0.6568542494923797-11.485281374238571j,144,132.3431458,116,143.6568542,256,143.6568542,116,132.3431458
3410,1.5037E+12,-1,-21,-24,-1,8,1,-3,-6,11.03808343,-5.875,-24,8,11.87960437,-11+0j,7.242640687119286+2.0000000000000004j,-1-0j,-1.2426406871192857-1.9999999999999996j,1+0j,-1.2426406871192857+1.9999999999999996j,-1+0j,7.242640687119286-2.0000000000000004j,121,56.45584412,1,5.544155877,1,5.544155877,1,56.45584412
3411,1.5037E+12,10,0,11,0,-2,7,-3,-34,14.26221281,-1.375,-34,11,13.41174858,-12+0j,-0.6568542494923797+9.242640687119284j,10+6j,10.65685424949238-0.7573593128807161j,4+0j,10.65685424949238+0.7573593128807161j,10-6j,-0.6568542494923797-9.242640687119284j,144,85.85786438,136,114.1421356,16,114.1421356,136,85.85786438
3412,1.5037E+12,13,8,-15,-10,-18,1,8,26,15.12743487,1.625,-18,26,14.24341953,22+0j,5.414213562373096-13.65685424949238j,-2+2j,2.5857864376269046+2.3431457505076203j,6+0j,2.5857864376269046-2.3431457505076203j,-2-2j,5.414213562373096+13.65685424949238j,484,215.8233765,8,12.17662351,36,12.17662351,8,215.8233765
3413,1.5037E+12,5,-8,-8,-1,-1,3,3,12,6.696214282,0.625,-8,12,6.294839156,3+0j,-9.121320343559642-7.121320343559643j,-6+3j,-4.878679656440358+2.878679656440357j,5+0j,-4.878679656440358-2.878679656440357j,-6-3j,-9.121320343559642+7.121320343559643j,9,133.9116882,45,32.08831175,25,32.08831175,45,133.9116882
3414,1.5037E+12,-6,-8,1,3,10,18,7,-1,8.552359741,3,-8,18,8.544003745,-9+0j,-7.949747468305833+2.292893218813452j,6+1j,1.9497474683058327-3.707106781186548j,1+0j,1.9497474683058327+3.707106781186548j,6-1j,-7.949747468305833-2.292893218813452j,81,68.45584412,37,17.54415588,1,17.54415588,37,68.45584412
3415,1.5037E+12,9,0,-3,-6,-13,-8,-2,-22,9.210824378,-5.625,-22,9,10.28955781,-8+0j,4.292893218813452-2.7071067811865475j,-1-7j,5.707106781186548+1.2928932188134525j,6+0j,5.707106781186548-1.2928932188134525j,-1+7j,4.292893218813452+2.7071067811865475j,64,25.75735931,50,34.24264069,36,34.24264069,50,25.75735931
3416,1.5037E+12,2,-1,8,-7,-21,1,7,6,9.575825216,-0.625,-21,8,8.979142498,-14+0j,1.5857864376269046+9.48528137423857j,6j,4.414213562373096+7.4852813742385695j,10+0j,4.414213562373096-7.4852813742385695j,-6j,1.5857864376269046-9.48528137423857j,196,92.48528137,36,75.51471863,100,75.51471863,36,92.48528137
3417,1.5037E+12,-3,-4,1,5,19,4,4,16,8.276472679,5.25,-4,19,9.354143467,1+0j,6.121320343559643-4.121320343559642j,-2-3j,1.8786796564403572-0.12132034355964239j,3+0j,1.8786796564403572+0.12132034355964239j,-2+3j,6.121320343559643+4.121320343559642j,1,54.45584412,13,3.544155877,9,3.544155877,13,54.45584412
3418,1.5037E+12,-3,-13,-6,10,-2,-4,-4,-15,7.595816518,-4.625,-15,10,8.477912479,-7+0j,-3.1213203435596424-0.5355339059327378j,2-1j,1.1213203435596424-6.535533905932738j,-1+0j,1.1213203435596424+6.535533905932738j,2+1j,-3.1213203435596424+0.5355339059327378j,49,10.02943725,5,43.97056275,1,43.97056275,5,10.02943725
3419,1.5037E+12,6,7,-9,-1,2,3,-5,-21,9.300537619,-2.25,-21,7,8.986100378,-10+0j,3.9497474683058336-8.363961030678928j,5-11j,-5.949747468305834-4.363961030678928j,-4+0j,-5.949747468305834+4.363961030678928j,5+11j,3.9497474683058336+8.363961030678928j,100,85.55634919,146,54.44365081,16,54.44365081,146,85.55634919
3420,1.5037E+12,-30,2,5,-3,-2,-3,4,18,13.52708922,-1.125,-30,18,12.70334602,-18+0j,-1.707106781186548+10.949747468305834j,5+1j,-0.2928932188134521-1.0502525316941673j,-4+0j,-0.2928932188134521+1.0502525316941673j,5-1j,-1.707106781186548-10.949747468305834j,324,122.8111832,26,1.188816818,16,1.188816818,26,122.8111832
3421,1.5037E+12,1,21,19,9,0,10,9,8,7.443837336,9.625,0,21,11.87960437,-10+0j,-2.585786437626905+2j,-6+2j,-5.414213562373095-2j,-2+0j,-5.414213562373095+2j,-6-2j,-2.585786437626905-2j,100,10.6862915,40,33.3137085,4,33.3137085,40,10.6862915
3422,1.5037E+12,6,-3,3,4,21,-11,-8,-30,14.90685365,-2.25,-30,21,14.12444689,-25+0j,-6.242640687119286+12.071067811865476j,1-0j,2.2426406871192857+2.0710678118654746j,7+0j,2.2426406871192857-2.0710678118654746j,1+0j,-6.242640687119286-12.071067811865476j,625,184.6812409,1,9.318759133,49,9.318759133,1,184.6812409
3423,1.5037E+12,-18,-4,-4,-4,-1,5,0,10,8.159131606,-2,-18,10,7.889866919,14+0j,4.4852813742385695-0.3431457505076194j,-6+4j,-12.48528137423857+11.65685424949238j,-2+0j,-12.48528137423857-11.65685424949238j,-6-4j,4.4852813742385695+0.3431457505076194j,196,20.23549801,52,291.764502,4,291.764502,52,20.23549801
3424,1.5037E+12,-26,4,-6,-4,-11,-9,0,34,17.1610023,-2.25,-26,34,16.20956508,-31+0j,-14.020815280171309+0.3639610306789276j,-10+17j,10.020815280171309+12.363961030678928j,11+0j,10.020815280171309-12.363961030678928j,-10-17j,-14.020815280171309-0.3639610306789276j,961,196.7157288,389,253.2842712,121,253.2842712,389,196.7157288
3425,1.5037E+12,11,-6,-3,-2,28,19,8,15,11.90138047,8.75,-6,28,14.15980226,13+0j,12+2.7573593128807143j,17-0j,12-11.242640687119286j,9+0j,12+11.242640687119286j,17+0j,12-2.7573593128807143j,169,151.6030304,289,270.3969696,81,270.3969696,289,151.6030304
3426,1.5037E+12,1,-20,-17,-10,-8,-20,-16,-9,7.229651246,-12.375,-20,1,14.10230478,-41+0j,0.7573593128807143+21.899494936611667j,-11+6j,9.242640687119286-2.1005050633883346j,-5+0j,9.242640687119286+2.1005050633883346j,-11-6j,0.7573593128807143-21.899494936611667j,1681,480.1614716,157,89.83852839,25,89.83852839,157,480.1614716
3427,1.5037E+12,-11,1,2,8,2,-19,2,10,9.679691554,-0.625,-19,10,9.07606743,-53+0j,-19.72792206135786+28.97056274847714j,3+22j,5.727922061357857+4.970562748477139j,11+0j,5.727922061357857-4.970562748477139j,3-22j,-19.72792206135786-28.97056274847714j,2809,1228.484415,493,57.51558518,121,57.51558518,493,1228.484415
3428,1.5037E+12,10,1,2,7,43,21,10,5,13.85576208,12.375,1,43,17.91996094,30+0j,29.242640687119284-16.65685424949238j,12+2j,20.757359312880716+5.34314575050762j,22+0j,20.757359312880716-5.34314575050762j,12-2j,29.242640687119284+16.65685424949238j,900,1132.582828,148,459.4171722,484,459.4171722,148,1132.582828
3429,1.5037E+12,-6,-15,-8,-7,-12,-9,-5,2,5.042675027,-7.5,-15,2,8.860022573,3+0j,-7.6568542494923815+0.0710678118654755j,-11+2j,3.6568542494923815+14.071067811865476j,3+0j,3.6568542494923815-14.071067811865476j,-11-2j,-7.6568542494923815-0.0710678118654755j,9,58.63246763,125,211.3675324,9,211.3675324,125,58.63246763
3430,1.5037E+12,13,5,12,-6,-30,3,4,-9,14,-1,-30,13,13.13392554,-17+0j,-17.727922061357855-6.585786437626906j,-15+2j,7.727922061357855+9.414213562373094j,11+0j,7.727922061357855-9.414213562373094j,-15-2j,-17.727922061357855+6.585786437626906j,289,357.6518036,229,148.3481964,121,148.3481964,229,357.6518036
3431,1.5037E+12,-3,-13,-17,-4,-11,-4,-1,10,8.365533029,-5.375,-17,10,9.493418773,24+0j,15.778174593052025-19.606601717798213j,-1-11j,0.2218254069479757-1.6066017177982133j,2+0j,0.2218254069479757+1.6066017177982133j,-1+11j,15.778174593052025+19.606601717798213j,576,633.3696244,122,2.630375591,4,2.630375591,122,633.3696244
3432,1.5037E+12,5,10,13,-5,-4,19,8,-3,8.765802058,5.375,-5,19,9.804335776,-21+0j,-19.606601717798213+2.535533905932737j,-6+7j,1.6066017177982133+4.535533905932737j,-3+0j,1.6066017177982133-4.535533905932737j,-6-7j,-19.606601717798213-2.535533905932737j,441,390.8477631,85,23.15223689,9,23.15223689,85,390.8477631
3433,1.5037E+12,-10,17,9,3,-5,-3,-5,-7,9.156379509,-0.125,-10,17,8.56592085,-27+0j,-1+9.414213562373096j,3-8j,-0.9999999999999999-6.585786437626905j,1+0j,-0.9999999999999999+6.585786437626905j,3+8j,-1-9.414213562373096j,729,89.627417,73,44.372583,1,44.372583,73,89.627417
3434,1.5037E+12,-1,0,-8,-3,1,-1,-2,0,2.815771906,-1.75,-8,1,3.16227766,-23+0j,31.535533905932738-8.849242404917497j,20-17j,24.464466094067262-20.849242404917497j,7+0j,24.464466094067262+20.849242404917497j,20+17j,31.535533905932738+8.849242404917497j,529,1072.79899,689,1033.20101,49,1033.20101,689,1072.79899
3435,1.5037E+12,-33,4,7,-1,-7,-8,-4,61,26.6186696,2.375,-33,61,25.01249688,15+0j,-1.0502525316941664-13.778174593052022j,-4-7j,-10.949747468305834-1.7781745930520225j,-7+0j,-10.949747468305834+1.7781745930520225j,-4+7j,-1.0502525316941664+13.778174593052022j,225,190.9411255,65,123.0588745,49,123.0588745,65,190.9411255
3436,1.5037E+12,13,-29,-13,0,2,0,5,7,13.24966307,-1.875,-29,13,12.53495114,-19+0j,0.4644660940672627-10.121320343559642j,-12-1j,7.535533905932738+5.878679656440357j,11+0j,7.535533905932738-5.878679656440357j,-12+1j,0.4644660940672627+10.121320343559642j,361,102.6568542,145,91.34314575,121,91.34314575,145,102.6568542
3437,1.5037E+12,2,-10,1,-2,-12,-8,-4,-8,5.166858675,-5.125,-12,2,7.044501402,-18+0j,-9.849242404917499+15.435028842544401j,1+17j,19.849242404917497+11.435028842544401j,20+0j,19.849242404917497-11.435028842544401j,1-17j,-9.849242404917499-15.435028842544401j,324,335.2476913,290,524.7523087,400,524.7523087,290,335.2476913
3438,1.5037E+12,5,7,1,3,-10,-7,-10,-1,6.718843438,-1.5,-10,7,6.461423992,39+0j,41.33452377915607-20.849242404917497j,8-27j,-5.3345237791560685-8.849242404917495j,-7+0j,-5.3345237791560685+8.849242404917495j,8+27j,41.33452377915607+20.849242404917497j,1521,2143.233765,793,106.7662351,49,106.7662351,793,2143.233765
3439,1.5037E+12,-3,6,2,6,6,-6,-11,-23,10.2878222,-2.875,-23,6,10.04365471,42+0j,4.778174593052023-27.4350288425444j,-9-11j,-10.778174593052023+0.5649711574555987j,-12+0j,-10.778174593052023-0.5649711574555987j,-9+11j,4.778174593052023+27.4350288425444j,1764,775.51176,202,116.48824,144,116.48824,202,775.51176
3440,1.5037E+12,27,1,-6,5,6,-15,-32,-12,17.46629407,-3.25,-32,27,16.65833125,-24+0j,2.0710678118654755+2.171572875253811j,8-4j,-12.071067811865476-7.828427124746189j,-20+0j,-12.071067811865476+7.828427124746189j,8+4j,2.0710678118654755-2.171572875253811j,576,9.005050634,80,206.9949494,400,206.9949494,80,9.005050634
3441,1.5037E+12,4,4,2,13,7,-5,-2,-16,8.724964183,0.875,-16,13,8.20822758,-8+0j,-3.0710678118654764+15.556349186104045j,-2+18j,11.071067811865476+15.556349186104045j,12+0j,11.071067811865476-15.556349186104045j,-2-18j,-3.0710678118654764-15.556349186104045j,64,251.4314575,328,364.5685425,144,364.5685425,328,251.4314575
3442,1.5037E+12,-20,6,1,-3,3,4,3,5,8.492643876,-0.125,-20,6,7.945124291,-39+0j,-22.949747468305834+15.778174593052022j,-12+15j,-13.050252531694166-0.22182540694797748j,-25+0j,-13.050252531694166+0.22182540694797748j,-12-15j,-22.949747468305834-15.778174593052022j,1521,775.6417023,369,170.3582977,625,170.3582977,369,775.6417023
3443,1.5037E+12,6,-3,-4,-2,4,13,13,17,8.159131606,5.5,-4,17,9.407443861,-65+0j,20.757359312880716+17.899494936611667j,-11+14j,29.242640687119284+1.8994949366116654j,3+0j,29.242640687119284-1.8994949366116654j,-11-14j,20.757359312880716-17.899494936611667j,4225,751.2598846,317,858.7401154,9,858.7401154,317,751.2598846
3444,1.5037E+12,-1,-5,10,4,-6,-20,-12,4,9.662150012,-3.25,-20,10,9.604686356,0j,0.46446609406726136+17.020815280171306j,5+7j,7.535533905932739+7.020815280171307j,6+0j,7.535533905932739-7.020815280171307j,5-7j,0.46446609406726136-17.020815280171306j,0,289.9238816,74,106.0761184,36,106.0761184,74,289.9238816
3445,1.5037E+12,3,4,-4,0,-14,11,18,-9,10.3708038,1.125,-14,18,9.766012492,77+0j,31.577164466275356-60.648232278140824j,-22-45j,-23.577164466275356-8.648232278140824j,-17+0j,-23.577164466275356+8.648232278140824j,-22+45j,31.577164466275356+60.648232278140824j,5929,4675.325394,2509,630.6746058,289,630.6746058,2509,4675.325394
3446,1.5037E+12,-5,11,4,-1,-2,4,3,-10,6.436503043,0.5,-10,11,6.041522987,-9+0j,-7.778174593052022-9.778174593052023j,6-3j,7.778174593052022-5.778174593052023j,21+0j,7.778174593052022+5.778174593052023j,6+3j,-7.778174593052022+9.778174593052023j,81,156.1126984,45,93.88730163,441,93.88730163,45,156.1126984
3447,1.5037E+12,1,3,5,-2,20,9,1,12,7.219764539,6.125,-2,20,9.117291264,-45+0j,-27.798989873223334+40.21320343559643j,11+28j,11.798989873223334+2.213203435596423j,15+0j,11.798989873223334-2.213203435596423j,11-28j,-27.798989873223334-40.21320343559643j,2025,2389.885569,905,144.1144315,225,144.1144315,905,2389.885569
3448,1.5037E+12,7,8,1,-8,-1,1,-4,-12,6.886840453,-1,-12,8,6.519202405,0j,1.9497474683058318+12.020815280171309j,-5+11j,-7.949747468305832+12.020815280171309j,6+0j,-7.949747468305832-12.020815280171309j,-5-11j,1.9497474683058318-12.020815280171309j,0,148.3015152,146,207.6984848,36,207.6984848,146,148.3015152
3449,1.5037E+12,12,-11,-4,-8,-21,-11,-13,-21,10.52802383,-9.625,-21,12,13.77043935,22+0j,19.36396103067893+3.050252531694168j,43-5j,6.636038969321072-12.949747468305832j,8+0j,6.636038969321072+12.949747468305832j,43+5j,19.36396103067893-3.050252531694168j,484,384.2670273,1874,211.7329727,64,211.7329727,1874,384.2670273
3450,1.5037E+12,-9,-5,0,-6,0,-3,5,10,6.187545094,-1,-9,10,5.873670062,29+0j,13.455844122715714-27.870057685088803j,-5-34j,-37.45584412271572-25.870057685088803j,-51+0j,-37.45584412271572+25.870057685088803j,-5+34j,13.455844122715714+27.870057685088803j,841,957.7998564,1181,2072.200144,2601,2072.200144,1181,957.7998564
3451,1.5037E+12,-15,3,-5,-3,-3,5,2,-14,7.459413995,-3.75,-15,5,7.921489759,2+0j,37.31370849898476+18j,44-2j,14.68629150101524-18j,6+0j,14.68629150101524+18j,44+2j,37.31370849898476-18j,4,1716.312842,1940,539.6871581,36,539.6871581,1940,1716.312842
3452,1.5037E+12,-8,-8,-7,-2,-3,1,5,1,4.808846015,-2.625,-8,5,5.208166664,-40+0j,-16.14213562373095+26.97056274847714j,6+26j,12.142135623730951+6.970562748477139j,12+0j,12.142135623730951-6.970562748477139j,6-26j,-16.14213562373095-26.97056274847714j,1600,987.9797975,712,196.0202025,144,196.0202025,712,987.9797975
3453,1.5037E+12,2,-1,-3,-5,3,-4,12,16,7.690439334,2.5,-5,16,7.615773106,-75+0j,-46.435028842544405+38.33452377915607j,-14+25j,-19.564971157455595+8.334523779156068j,-21+0j,-19.564971157455595-8.334523779156068j,-14-25j,-46.435028842544405-38.33452377915607j,5625,3625.747617,821,452.252383,441,452.252383,821,3625.747617
3454,1.5037E+12,1,0,0,4,1,11,12,-1,5.154748158,3.5,-1,12,5.958187644,-33+0j,-52.84062043356595+12.627416997969519j,-19+56j,34.84062043356595+32.62741699796952j,35+0j,34.84062043356595-32.62741699796952j,-19-56j,-52.84062043356595-12.627416997969519j,1089,2951.582828,3497,2278.417172,1225,2278.417172,3497,2951.582828
3455,1.5037E+12,3,-7,-5,0,8,1,-8,-9,6.057757718,-2.125,-9,8,6.051859218,34+0j,24.192388155425117-20.363961030678926j,11-3j,5.8076118445748826+7.636038969321073j,20+0j,5.8076118445748826-7.636038969321073j,11+3j,24.192388155425117+20.363961030678926j,1156,999.9625535,130,92.03744648,400,92.03744648,130,999.9625535
3456,1.5037E+12,15,5,-3,1,-6,-8,-6,-8,7.995534468,-1.25,-8,15,7.582875444,-9+0j,42.09188309203678+17.121320343559645j,26-17j,3.908116907963219-12.878679656440356j,1+0j,3.908116907963219+12.878679656440356j,26+17j,42.09188309203678-17.121320343559645j,81,2064.866233,965,181.1337675,1,181.1337675,965,2064.866233
3457,1.5037E+12,-6,-25,-15,-10,-13,-10,-2,5,8.960229589,-9.5,-25,5,12.66885946,4+0j,8.535533905932738-16.949747468305834j,-17-15j,1.4644660940672618+7.050252531694167j,2+0j,1.4644660940672618-7.050252531694167j,-17+15j,8.535533905932738+16.949747468305834j,16,360.1492783,514,51.8507217,4,51.8507217,514,360.1492783
3458,1.5037E+12,-4,-11,-14,-7,-5,-6,-5,-19,5.330170193,-8.875,-19,-4,10.17963654,54+0j,-10.242640687119286-2.0000000000000004j,30-14j,-1.7573593128807143+1.9999999999999996j,14+0j,-1.7573593128807143-1.9999999999999996j,30+14j,-10.242640687119286+2.0000000000000004j,2916,108.9116882,1096,7.088311755,196,7.088311755,1096,108.9116882
3459,1.5037E+12,-3,0,-7,-4,-10,-8,-11,-14,4.611708701,-7.125,-14,0,8.329165624,-20+0j,-33.242640687119284-13.242640687119286j,-30-4j,-24.757359312880716+4.757359312880714j,-28+0j,-24.757359312880716-4.757359312880714j,-30+4j,-33.242640687119284+13.242640687119286j,400,1280.440692,916,635.5593078,784,635.5593078,916,1280.440692
3460,1.5037E+12,0,4,3,3,-1,11,2,-1,3.889087297,2.625,-1,11,4.486089611,38+0j,17.99137802864845-56.99137802864844j,-55-33j,-39.991378028648455-0.9913780286484446j,-36+0j,-39.991378028648455+0.9913780286484446j,-55+33j,17.99137802864845+56.99137802864844j,1444,3571.706853,4114,1600.293147,1296,1600.293147,4114,3571.706853
