,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1597,1597,1503612776917,8,4,0,-1,2,-3,6,9
1598,1598,1503612776925,-6,-15,-4,-3,6,-2,-9,-7
1599,1599,1503612776930,-3,-1,-2,-1,0,-2,-2,-7
1600,1600,1503612776946,-3,-12,-3,-2,-2,-1,-4,-3
1601,1601,1503612776954,-14,-6,3,2,-4,-2,-10,-18
1602,1602,1503612776961,15,-19,-8,-3,-3,0,6,9
1603,1603,1503612776975,-1,-9,-3,-3,2,3,1,2
1604,1604,1503612776989,-13,-9,-2,-2,3,-2,-2,-5
1605,1605,1503612776992,1,-4,-6,-4,-14,-1,1,-7
1606,1606,1503612777006,-1,-1,-2,-1,-2,-2,-2,-6
1607,1607,1503612777013,-3,8,2,0,0,-5,-8,-1
1608,1608,1503612777021,-3,2,0,2,6,2,5,-4
1609,1609,1503612777035,5,0,-3,-2,0,-1,0,2
1610,1610,1503612777043,-12,-2,-1,-1,-1,-3,2,-20
1611,1611,1503612777055,18,7,4,3,5,6,-7,23
1612,1612,1503612777066,-5,5,0,0,1,1,-6,3
1613,1613,1503612777073,0,4,0,-1,-13,-6,-2,-9
1614,1614,1503612777081,10,-6,-6,-3,-2,-1,-4,0
1615,1615,1503612777095,-6,-3,-1,-1,-1,0,3,5
1616,1616,1503612777110,-1,0,4,0,-2,1,4,7
1617,1617,1503612777111,7,9,-1,0,3,-2,5,-13
1618,1618,1503612777126,3,16,5,1,1,2,1,-1
1619,1619,1503612777133,6,13,3,0,3,3,0,5
1620,1620,1503612777142,-3,-4,0,0,-4,1,-4,10
1621,1621,1503612777155,-2,-12,-4,-2,0,-2,12,24
1622,1622,1503612777163,-2,-3,-1,-2,-2,-2,6,9
1623,1623,1503612777170,-10,-3,-2,-1,1,-1,-6,-31
1624,1624,1503612777194,3,-4,-1,0,-1,-1,-1,5
1625,1625,1503612777201,-12,-2,-2,0,-1,-5,-2,-9
1626,1626,1503612777215,-3,-2,1,1,5,4,4,0
1627,1627,1503612777223,5,3,0,0,3,0,2,10
1628,1628,1503612777230,1,2,0,0,0,0,-2,5
1629,1629,1503612777246,4,1,0,-2,-1,-2,-6,-2
1630,1630,1503612777253,-5,-7,-3,-3,1,-11,-22,-9
1631,1631,1503612777261,20,2,-2,-1,-4,-7,2,11
1632,1632,1503612777276,0,0,1,-4,-5,4,7,-5
1633,1633,1503612777287,3,10,1,0,3,3,1,3
1634,1634,1503612777290,-5,-2,-4,0,1,-2,-8,0
1635,1635,1503612777306,9,9,4,0,-1,1,4,-14
1636,1636,1503612777313,-7,-7,-7,0,-3,-4,6,-16
1637,1637,1503612777324,2,-12,-8,-1,-2,0,-7,12
1638,1638,1503612777335,3,9,4,-1,0,1,-5,1
1639,1639,1503612777343,-13,1,-1,1,3,3,-1,-3
1640,1640,1503612777350,-6,-13,-5,0,-4,-1,-1,0
1641,1641,1503612777366,-3,4,2,1,3,0,-1,0
1642,1642,1503612777373,-2,3,1,-1,-1,4,1,1
1643,1643,1503612777381,-2,-9,-2,0,6,-1,-1,7
1644,1644,1503612777396,13,3,2,-2,-3,6,6,13
1645,1645,1503612777403,-5,-5,-4,-3,0,-3,-3,0
1646,1646,1503612777410,-8,4,0,1,3,-1,5,3
1647,1647,1503612777426,0,-9,-4,-1,-1,-2,1,-11
1648,1648,1503612777433,-1,-4,-2,-1,-4,-4,2,1
1649,1649,1503612777441,-8,-1,-1,0,0,0,-5,-6
1650,1650,1503612777456,2,15,10,2,2,-2,0,-6
1651,1651,1503612777463,-1,-2,-1,-2,-5,-4,-7,-2
1652,1652,1503612777470,1,-2,-2,-3,-3,-3,0,-3
1653,1653,1503612777487,-2,5,3,0,-2,1,-1,-25
1654,1654,1503612777493,8,6,5,2,3,0,-1,-3
1655,1655,1503612777501,2,-8,-4,1,-2,11,8,15
1656,1656,1503612777515,-8,-11,-6,-5,-4,-1,-2,8
1657,1657,1503612777531,-6,-3,-3,-4,-12,-5,-4,-3
1658,1658,1503612777546,-3,5,-1,-4,-4,-1,16,4
1659,1659,1503612777555,-4,-3,-5,-2,-4,-2,-2,-5
1660,1660,1503612777561,7,24,9,3,2,0,-2,-1
1661,1661,1503612777575,-2,-8,-4,-2,0,2,-1,4
1662,1662,1503612777583,-9,0,0,-1,-2,-4,-2,5
1663,1663,1503612777598,5,1,-1,1,4,0,-2,0
1664,1664,1503612777606,-7,-18,-8,-3,-1,-3,-3,-4
1665,1665,1503612777613,4,0,-2,-1,2,-1,5,12
1666,1666,1503612777635,-2,6,1,1,-3,-3,-11,-7
1667,1667,1503612777636,4,4,1,2,5,2,-2,-2
1668,1668,1503612777643,-4,-5,6,0,-2,0,5,-2
1669,1669,1503612777660,-5,-6,0,-1,0,-2,-3,-3
1670,1670,1503612777666,2,-1,-3,-1,0,0,11,-36
1671,1671,1503612777673,-5,-1,2,2,0,1,1,-1
1672,1672,1503612777689,-2,-12,-6,-3,0,-2,-12,12
1673,1673,1503612777695,-2,-3,-5,-1,1,0,-2,-7
1674,1674,1503612777703,9,4,1,-1,-1,-3,-3,11
1675,1675,1503612777718,4,10,2,-1,-2,0,1,0
1676,1676,1503612777727,5,-1,-4,-2,-2,-3,3,6
1677,1677,1503612777733,-4,3,2,-2,-4,0,-7,-6
1678,1678,1503612777748,0,-5,0,3,1,0,0,5
1679,1679,1503612777756,2,-7,-2,1,2,2,11,-3
1680,1680,1503612777768,-1,-5,-4,-2,-2,0,0,5
1681,1681,1503612777778,-3,-1,-2,0,0,-4,0,0
1682,1682,1503612777786,2,-10,-6,-5,-5,-4,0,2
1683,1683,1503612777793,-5,8,3,1,2,0,1,-2
1684,1684,1503612777808,-6,6,7,2,1,2,-10,-6
1685,1685,1503612777815,-6,-16,-5,-1,1,1,1,-3
1686,1686,1503612777824,7,-2,-3,-1,-2,1,-2,0
1687,1687,1503612777838,-1,-7,-2,0,0,-2,-3,-3
1688,1688,1503612777846,1,-2,-3,-2,-1,-2,2,-3
1689,1689,1503612777853,2,-2,0,-2,0,-3,-1,2
1690,1690,1503612777868,-6,-4,-1,1,2,-2,4,1
1691,1691,1503612777875,-8,5,0,-1,-3,-1,-14,3
1692,1692,1503612777883,17,7,3,1,-1,0,-7,7
1693,1693,1503612777899,8,-1,0,1,0,0,-2,-1
1694,1694,1503612777906,-9,-12,-9,-1,-1,0,5,3
1695,1695,1503612777913,2,4,0,-1,-6,-3,-1,-6
1696,1696,1503612777928,-7,0,0,-2,1,0,1,-4
1697,1697,1503612777935,-7,0,2,0,2,6,8,-41
1698,1698,1503612777943,-1,-3,-3,-1,-2,-4,-5,-1
1699,1699,1503612777961,0,-6,-7,-7,-6,-4,-3,13
1700,1700,1503612777966,5,8,5,0,-1,0,-1,-1
1701,1701,1503612777973,-1,5,3,0,0,-4,-2,4
1702,1702,1503612777988,-15,-4,-1,-1,1,0,-6,7
1703,1703,1503612777995,-4,5,0,1,1,1,-4,6
1704,1704,1503612778003,-3,-3,-1,-2,0,0,9,-2
2184,2184,1503612782698,1,1,0,-1,3,-1,-3,5
2185,2185,1503612782699,-12,-3,-1,-4,-18,-1,-4,-1
2186,2186,1503612782705,-5,-3,-2,-2,-1,-2,-12,-4
2187,2187,1503612782720,10,-4,-1,0,2,-3,-1,-2
2188,2188,1503612782728,-7,-3,2,1,-1,0,6,0
2189,2189,1503612782735,-10,-18,-8,-3,0,-1,-7,-8
2190,2190,1503612782750,-6,30,13,2,2,2,6,-31
2191,2191,1503612782751,11,2,1,-1,1,-2,-5,-5
2192,2192,1503612782758,-6,-2,-4,-1,2,0,-1,-11
2193,2193,1503612782766,8,0,2,-1,-2,-3,-5,24
2194,2194,1503612782780,6,4,1,-1,1,-1,0,18
2195,2195,1503612782788,-6,-3,-5,-3,-4,0,-1,-1
2196,2196,1503612782795,18,61,19,4,6,3,4,8
2197,2197,1503612782810,1,1,-2,-3,-1,1,6,7
2198,2198,1503612782819,-8,-11,-2,2,1,2,6,-4
2199,2199,1503612782826,-11,1,-5,-2,-3,1,-3,-12
2200,2200,1503612782840,-6,-8,-3,-1,1,-2,-4,-1
2201,2201,1503612782848,-9,-12,-1,0,0,-3,-3,-17
2202,2202,1503612782855,1,-9,-6,-5,-3,-1,-1,-4
2203,2203,1503612782870,-2,-2,-1,-1,-3,0,1,-4
2204,2204,1503612782877,-4,-7,-2,0,0,0,0,-6
2205,2205,1503612782885,0,-4,-2,-1,-2,-2,-9,-6
2206,2206,1503612782886,-2,4,0,-2,0,-2,4,3
2207,2207,1503612782900,5,-4,-3,-2,-4,-1,-2,4
2208,2208,1503612782908,2,13,5,0,1,0,3,1
2209,2209,1503612782915,6,-6,-5,-2,1,0,-5,0
2210,2210,1503612782930,1,0,0,1,-1,1,1,0
2211,2211,1503612782937,-5,-7,-3,-1,-4,-1,1,1
2212,2212,1503612782945,-1,-1,1,0,-3,-1,5,-1
2213,2213,1503612782960,-3,-4,-4,-1,-2,-1,-5,-4
2214,2214,1503612782968,0,-4,-1,0,3,0,-5,-6
2215,2215,1503612782975,9,-2,1,-1,-3,-4,-2,6
2216,2216,1503612782992,-2,-5,-3,-1,0,2,0,2
2217,2217,1503612782998,-10,-1,-1,-2,-6,0,7,0
2218,2218,1503612783006,4,0,2,-2,-1,-2,-2,-2
2219,2219,1503612783020,3,-3,-3,-3,1,-1,5,-3
2220,2220,1503612783028,0,-2,-2,-5,-10,-4,-5,-6
2221,2221,1503612783036,-8,-4,-1,2,4,-1,-1,-5
2222,2222,1503612783051,10,1,-3,0,1,-1,-2,-4
2223,2223,1503612783060,0,0,-1,2,4,2,-2,0
2224,2224,1503612783066,-4,-1,-2,1,4,-3,-2,-4
2225,2225,1503612783067,-7,-1,0,0,1,0,6,-1
2226,2226,1503612783080,-3,-1,0,4,8,1,-3,-2
2227,2227,1503612783088,-20,-4,-1,0,4,-1,-1,-60
2228,2228,1503612783095,-1,-4,-4,-3,-4,0,6,65
2229,2229,1503612783110,-11,-10,-4,1,2,-2,-9,-64
2230,2230,1503612783117,14,-8,-5,-4,-2,-2,-3,-14
2231,2231,1503612783126,0,-10,-3,-1,0,0,-10,17
2232,2232,1503612783140,-2,-30,-12,-2,0,-3,-4,0
2233,2233,1503612783148,-9,-8,-3,-3,-4,-5,-3,35
2234,2234,1503612783155,5,-2,1,1,-1,0,-7,-41
2235,2235,1503612783170,19,10,-1,-1,0,0,2,7
2236,2236,1503612783177,-9,7,1,-3,-3,-2,2,3
2237,2237,1503612783194,2,6,3,1,1,3,3,19
2238,2238,1503612783200,-5,15,8,1,0,2,1,-15
2239,2239,1503612783208,5,-11,-3,-1,-2,-4,-1,20
2240,2240,1503612783222,-12,-12,-7,-3,-7,-3,-6,-9
2241,2241,1503612783231,-6,2,-2,-2,-1,0,18,-38
2242,2242,1503612783238,-7,5,6,1,0,0,-8,-17
2243,2243,1503612783252,-6,-31,-12,-6,-4,-1,3,-7
2244,2244,1503612783253,-1,7,0,-1,-4,-1,-2,33
2245,2245,1503612783262,8,-1,-1,-3,-6,0,7,20
2246,2246,1503612783268,2,8,4,4,10,2,-3,3
