,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
2145,2145,1503685055977,-1,-11,-8,-5,-2,-4,-7,-11
2146,2146,1503685055984,-38,-24,2,-5,-6,-6,-8,-3
2147,2147,1503685055999,14,12,4,4,-3,1,0,4
2148,2148,1503685056010,-6,4,-1,2,-2,-1,5,9
2149,2149,1503685056022,-7,0,5,0,-2,-3,-10,-25
2150,2150,1503685056029,-8,2,1,-1,0,-8,-8,-20
2151,2151,1503685056039,8,13,0,1,0,0,-8,-13
2152,2152,1503685056044,8,-1,-5,-5,-3,-5,-6,-8
2153,2153,1503685056059,13,-2,3,4,4,1,6,-2
2154,2154,1503685056066,5,5,6,-1,-2,3,3,12
2584,2584,1503685060341,6,9,8,15,16,1,14,14
2585,2585,1503685060349,5,4,1,16,19,2,-18,-19
2586,2586,1503685060355,13,9,6,15,30,2,-8,8
2587,2587,1503685060372,6,-7,0,7,11,5,-9,-18
2588,2588,1503685060378,11,19,24,79,98,24,20,6
2589,2589,1503685060386,12,12,5,18,14,5,4,19
2590,2590,1503685060404,-26,-12,-8,-25,-33,-14,-12,-23
2591,2591,1503685060409,-7,17,5,-15,-33,-14,-15,-5
2592,2592,1503685060415,7,-4,-1,1,10,1,-2,1
2593,2593,1503685060431,5,-4,-7,-15,-8,7,7,6
2594,2594,1503685060438,2,-14,-5,-2,-7,-2,4,6
2595,2595,1503685060447,6,-6,0,2,-8,-10,-2,-23
2596,2596,1503685060460,11,12,3,-5,-12,-4,9,11
2597,2597,1503685060471,4,0,-4,6,13,11,11,30
2598,2598,1503685060477,-3,-9,-5,-14,-21,-4,5,17
2599,2599,1503685060491,-9,-7,-4,4,5,-6,-4,-13
2600,2600,1503685060498,7,16,4,-1,-7,-6,-7,-19
2601,2601,1503685060506,-9,-10,-6,1,13,6,0,-4
2602,2602,1503685060521,8,3,6,10,18,11,-14,-1
2603,2603,1503685060529,-12,-1,0,-3,-7,-4,1,6
2604,2604,1503685060537,-1,-10,-12,-8,-11,0,8,3
2605,2605,1503685060551,22,14,6,-4,-8,0,-5,9
2606,2606,1503685060558,-8,-3,-10,-11,-8,-6,0,-9
2607,2607,1503685060569,-12,-5,-7,-6,-3,-3,8,-15
2608,2608,1503685060582,-10,-3,-6,-10,-14,-4,7,15
2609,2609,1503685060589,-10,-4,1,-1,-4,-3,-11,-14
2610,2610,1503685060596,-8,-1,6,5,5,-2,-4,-7
2611,2611,1503685060611,-14,-7,-8,3,6,1,7,-3
2612,2612,1503685060618,13,6,-11,-3,-4,-3,-1,-7
2613,2613,1503685060626,4,7,11,4,2,2,-9,15
2614,2614,1503685060642,-10,-3,4,0,1,0,1,-12
2615,2615,1503685060649,5,-3,4,8,9,4,10,27
2616,2616,1503685060656,-3,-1,7,-1,0,-2,0,0
2617,2617,1503685060671,-20,-33,-29,-14,-7,-6,-2,-5
2618,2618,1503685060680,7,9,10,5,-1,-2,7,-7
2619,2619,1503685060686,7,1,-7,-5,-2,0,-2,2
2620,2620,1503685060701,-56,-16,-7,-4,0,-3,-11,-47
2621,2621,1503685060709,-13,-9,2,1,-1,-2,-1,5
2622,2622,1503685060716,8,2,0,-1,1,2,1,24
2623,2623,1503685060731,22,13,5,-5,-6,-1,1,1
2624,2624,1503685060739,16,10,7,11,11,2,0,10
2625,2625,1503685060747,1,-11,-10,-6,-1,7,15,-7
2626,2626,1503685060761,-1,-8,3,-7,-11,-4,-4,-16
2627,2627,1503685060772,9,3,5,1,0,-2,4,-9
2628,2628,1503685060785,-10,-6,6,2,1,0,4,10
2629,2629,1503685060791,2,2,2,1,0,1,1,0
2630,2630,1503685060808,0,15,8,4,0,1,-6,19
2631,2631,1503685060822,4,-3,-13,-8,-8,-5,-8,3
2632,2632,1503685060829,35,13,3,2,4,5,1,19
2633,2633,1503685060845,-16,-13,-5,-4,-6,-5,-4,9
2634,2634,1503685060851,4,11,-4,0,2,-2,-2,2
2635,2635,1503685060859,0,8,-7,1,2,3,2,-11
2636,2636,1503685060866,16,21,25,8,4,0,-8,0
2637,2637,1503685060882,20,0,-12,-1,-3,-1,-2,19
2638,2638,1503685060889,-4,-4,2,1,-1,-5,-16,-15
2639,2639,1503685060906,1,-8,-4,-4,-3,-1,1,-6
2640,2640,1503685060912,-24,-8,-1,-1,-1,-5,-4,-9
2641,2641,1503685060919,14,7,6,2,2,1,5,-1
2642,2642,1503685060926,-20,-4,16,2,-1,0,0,-19
2643,2643,1503685060942,-9,-1,-5,-2,-1,-2,-5,1
2644,2644,1503685060949,-12,-10,-15,-6,-3,-2,-8,-7
2645,2645,1503685060964,13,5,5,1,1,0,-9,-5
2646,2646,1503685060973,-16,-10,-1,2,0,1,3,-20
2647,2647,1503685060980,-23,-22,-6,-3,-2,1,4,-11
2648,2648,1503685060986,8,-1,-10,-3,-2,-1,-3,6
2649,2649,1503685061010,-2,-4,-5,-2,-1,-1,13,6
2650,2650,1503685061024,12,-3,-12,-4,-3,-2,-4,0
2651,2651,1503685061031,-9,-7,-9,1,0,1,2,25
2652,2652,1503685061040,4,6,0,-1,-1,1,1,-12
2653,2653,1503685061048,2,5,-1,-8,-14,-4,2,-10
2654,2654,1503685061062,-15,-2,1,1,1,-1,-1,-6
2655,2655,1503685061070,-1,1,-1,-3,-1,0,4,2
2656,2656,1503685061085,4,5,5,3,1,-3,-4,3
2657,2657,1503685061091,-13,-8,-10,-5,-2,-4,-4,-5
2658,2658,1503685061099,-1,1,5,2,2,-2,-6,-5
2659,2659,1503685061106,-3,-1,0,-2,-2,1,2,7
2660,2660,1503685061107,3,-2,-4,0,4,5,5,-5
2661,2661,1503685061122,-1,8,3,-9,-6,-5,-9,-1
2662,2662,1503685061129,-10,-1,-5,-5,-6,-3,0,4
2663,2663,1503685061146,-4,2,0,1,5,2,2,-17
2664,2664,1503685061151,2,5,6,-6,-10,-7,-8,-18
2665,2665,1503685061159,-9,-13,-8,-5,-3,-1,0,5
2666,2666,1503685061174,16,3,1,5,5,-1,-16,-12
2667,2667,1503685061182,-6,8,-1,2,3,4,0,4
2668,2668,1503685061189,-13,-2,8,11,6,2,-4,-1
3244,3244,1503685066858,4,12,12,4,-2,-2,2,0
3245,3245,1503685066866,1,3,8,6,4,0,-3,1
3246,3246,1503685066873,-25,-15,-5,4,11,1,1,-5
3247,3247,1503685066889,-12,-6,-6,-3,0,-1,-3,-5
3248,3248,1503685066896,-9,-11,2,-2,-4,-3,-3,-6
3249,3249,1503685066904,-26,-21,-8,8,21,5,2,-1
3250,3250,1503685066919,-4,-4,-4,-3,-5,0,1,1
3251,3251,1503685066926,-6,-3,-10,-11,-15,-3,-5,-16
3252,3252,1503685066933,5,-1,7,13,25,3,-2,17
3253,3253,1503685066949,14,4,-1,-6,-18,-3,3,0
3254,3254,1503685066956,-10,-13,-10,-11,-12,-3,-6,-2
3255,3255,1503685066964,1,3,0,-2,-2,-2,-2,6
3256,3256,1503685066981,6,0,-2,-2,-6,-6,-5,-1
3257,3257,1503685066986,39,22,-7,-4,2,-2,-6,-4
3258,3258,1503685066993,13,0,-11,-5,3,-3,4,-6
3259,3259,1503685067008,6,-9,-4,-2,-4,-1,-2,11
